Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
0,Itezhi Tezhi,Hydro,Reservoir,PP,ZM,120.0,,,0.0,0.0,0.0,2016.0,2016.0,2116.0,-15.7601,26.0213,{nan},"{'GHPT': {'G604089'}, 'GEO': {'GEO-45987', 'GEO-3698'}, 'GPD': {'WRI1000020'}}",124
1,Kafue Gorge Upper,Hydro,Reservoir,PP,ZM,990.0,,,0.0,0.0,0.0,1977.0,1977.0,2077.0,-15.8067,28.4216,{nan},"{'GHPT': {'G604091'}, 'GEO': {'GEO-3769'}, 'GPD': {'WRI1000022'}}",72
2,Kariba Dam,Hydro,Reservoir,PP,ZM,2130.0,,,0.0,0.0,0.0,1959.0,1959.0,2059.0,-16.5225,28.7621,{nan},"{'GHPT': {'G604149'}, 'GEO': {'GEO-3802'}, 'GPD': {'WRI1000021'}}",73
3,Victoria Falls,Hydro,Run-Of-River,PP,ZM,108.0,,,0.0,0.0,0.0,1936.0,1936.0,2036.0,-17.9305,25.8598,{nan},"{'GHPT': {'G604096'}, 'GEO': {'GEO-40383'}, 'GPD': {'WRI1022380'}}",15
4,Maamba,Hard Coal,Steam Turbine,PP,ZM,600.0,,,0.0,0.0,0.0,2016.0,2016.0,2061.0,-17.3527223,27.1859398,"{nan, nan, nan, nan}","{'GCPT': {'G106530', 'G106533', 'G106532', 'G106531'}, 'GEO': {'GEO-46611'}, 'GPD': {'WRI1022376'}}",91
5,Lusiwasi Zambia,Hydro,Reservoir,PP,ZM,11.847133757961783,,,0.0,0.0,0.0,1967.0,1967.0,2067.0,-12.9884,30.8649,"{nan, nan, nan, nan}","{'GEO': {'GEO-45988'}, 'GPD': {'WRI1000023'}}",139
6,Nakambala,Bioenergy,Steam Turbine,PP,ZM,40.0,,,0.0,0.0,0.0,2010.0,2010.0,2030.0,-15.8315,27.7804,{nan},"{'GBPT': {'G200008'}, 'GPD': {'WRI1022375'}}",3
7,Mita Hills Dam Zambia,Hydro,,PP,ZM,0.0,,,0.0,0.0,0.0,1972.5714285714287,1972.5714285714287,2072.5714285714284,-14.23609860095,29.119691848755,{nan},{'GEO': {'GEO-4318'}},169
8,Mulungushi Dam Zambia,Hydro,Reservoir,PP,ZM,29.420382165605094,,,0.0,0.0,0.0,1932.0,1932.0,2032.0,-14.73887,28.84228,"{nan, nan, nan, nan}",{'GEO': {'GEO-4404'}},82
9,Bancroft Copperbelt,Oil,,PP,ZM,20.0,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-12.3786,27.8317,{nan},{'GPD': {'WRI1022387'}},43
11,Luano,Oil,,PP,ZM,40.0,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-11.5667,24.1333,{nan},{'GPD': {'WRI1022388'}},60
12,Luanshya Nchanga,Oil,,PP,ZM,14.6,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-13.1333,28.4,{nan},{'GPD': {'WRI1022389'}},69
13,Lusaka,Oil,,PP,ZM,15.0,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-15.433,28.333,{nan},{'GPD': {'WRI1022385'}},71
14,Mufulira Nchanga,Oil,,PP,ZM,10.0,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-12.55,28.2333,{nan},{'GPD': {'WRI1022390'}},148
15,Ndola,Oil,,PP,ZM,50.0,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-12.9667,28.6333,{nan},{'GPD': {'WRI1022386'}},152
16,Nkana,Oil,,PP,ZM,20.0,,,0.0,0.0,0.0,1995.3865546218487,1995.3865546218487,2035.3865546218487,-12.8167,28.2,{nan},{'GPD': {'WRI1022384'}},0
17,Chipata,Hard Coal,Steam Turbine,,ZM,300.0,,,0.0,0.0,0.0,2015.5,2015.5,2060.5,-13.645278,32.646389,{nan},{'GCPT': {'G113982'}},168
18,Chipepo,Hard Coal,Steam Turbine,,ZM,1000.0,,,0.0,0.0,0.0,2015.5,2015.5,2060.5,-14.738471,27.949796,"{nan, nan, nan, nan}","{'GCPT': {'G101489', 'G101488', 'G101487', 'G101486'}}",170
19,Emco Zambia,Hard Coal,Steam Turbine,,ZM,340.0,,,0.0,0.0,0.0,2015.5,2015.5,2060.5,-17.25,27.466667,"{nan, nan}","{'GCPT': {'G102630', 'G102629'}}",91
20,Ndola Cement,Hard Coal,Steam Turbine,,ZM,30.0,,,0.0,0.0,0.0,2015.0,2015.0,2060.0,-13.0270112,28.7792015,{nan},{'GCPT': {'G107339'}},151
21,Vedanta Zambia,Hard Coal,Steam Turbine,,ZM,300.0,,,0.0,0.0,0.0,2015.5,2015.5,2060.5,-12.366667,27.827778,{nan},{'GCPT': {'G114237'}},43
23,Kafue Gorge Lower,Hydro,Reservoir,PP,ZM,750.0,,,0.0,0.0,0.0,2021.0,2021.0,2121.0,-15.8959,28.5601,{nan},{'GHPT': {'G604090'}},141
